import time: self [us] | cumulative | imported package
import time:       504 |        504 |   _io
import time:        86 |         86 |   marshal
import time:       632 |        632 |   posix
import time:      1107 |       2328 | _frozen_importlib_external
import time:       228 |        228 |   time
import time:       522 |        750 | zipimport
import time:       170 |        170 |     _codecs
import time:       918 |       1087 |   codecs
import time:       451 |        451 |   encodings.aliases
import time:      1086 |       2624 | encodings
import time:       204 |        204 | encodings.utf_8
import time:       176 |        176 | _signal
import time:       210 |        210 | encodings.latin_1
import time:        46 |         46 |     _abc
import time:       234 |        280 |   abc
import time:       287 |        566 | io
import time:        52 |         52 |       _stat
import time:       269 |        320 |     stat
import time:       991 |        991 |     _collections_abc
import time:       136 |        136 |       genericpath
import time:       225 |        361 |     posixpath
import time:       617 |       2288 |   os
import time:       191 |        191 |   _sitebuiltins
import time:        78 |         78 |     _locale
import time:       144 |        222 |   _bootlocale
import time:       415 |        415 |   _distutils_hack
import time:       241 |        241 |   types
import time:       340 |        340 |       warnings
import time:       189 |        529 |     importlib
import time:       216 |        216 |       importlib.machinery
import time:       651 |        866 |     importlib.abc
import time:        89 |         89 |           _operator
import time:       403 |        491 |         operator
import time:       190 |        190 |         keyword
import time:        75 |         75 |           _heapq
import time:       242 |        317 |         heapq
import time:       144 |        144 |         itertools
import time:      1385 |       1385 |         reprlib
import time:       114 |        114 |         _collections
import time:      1185 |       3822 |       collections
import time:        74 |         74 |         _functools
import time:       883 |        956 |       functools
import time:       689 |       5466 |     contextlib
import time:       380 |       7239 |   importlib.util
import time:        83 |         83 |     apport_python_hook
import time:       192 |        275 |   sitecustomize
import time:      2754 |      13621 | site
import time:       680 |        680 |     enum
import time:        68 |         68 |       _sre
import time:       284 |        284 |         sre_constants
import time:       313 |        596 |       sre_parse
import time:       270 |        933 |     sre_compile
import time:       181 |        181 |     copyreg
import time:       540 |       2333 |   re
import time:       161 |        161 |         token
import time:       919 |       1080 |       tokenize
import time:       187 |       1266 |     linecache
import time:       336 |       1602 |   traceback
import time:       185 |        185 |     _weakrefset
import time:       578 |        763 |   weakref
import time:       255 |        255 |   collections.abc
import time:        66 |         66 |     _string
import time:      1012 |       1077 |   string
import time:       547 |        547 |   threading
import time:        79 |         79 |   atexit
import time:      2290 |       8941 | logging
import time:      2342 |       2342 | platform
import time:      2424 |       2424 |       _tkinter
import time:       302 |        302 |       tkinter.constants
import time:      2623 |       5348 |     tkinter
import time:       171 |        171 |       tkinter.dialog
import time:       147 |        147 |       tkinter.commondialog
import time:       154 |        154 |         tkinter.messagebox
import time:       329 |        483 |       tkinter.simpledialog
import time:       167 |        167 |       fnmatch
import time:       468 |       1434 |     tkinter.filedialog
import time:       230 |        230 |     tkinter.colorchooser
import time:       879 |        879 |     tkinter.ttk
import time:       211 |        211 |     tkinter.font
import time:        80 |         80 |         errno
import time:       874 |        874 |         signal
import time:        87 |         87 |         msvcrt
import time:        39 |         39 |         _posixsubprocess
import time:        63 |         63 |         select
import time:       141 |        141 |           math
import time:       536 |        676 |         selectors
import time:       579 |       2395 |       subprocess
import time:       528 |        528 |       _uuid
import time:      4111 |       7033 |     uuid
import time:       187 |        187 |         _struct
import time:       503 |        690 |       struct
import time:      1065 |       1065 |       _compat_pickle
import time:       329 |        329 |       _pickle
import time:       398 |        398 |           org
import time:        65 |        462 |         org.python
import time:        41 |        503 |       org.python.core
import time:      2333 |       4917 |     pickle
import time:       197 |        197 |         _datetime
import time:       918 |       1114 |       datetime
import time:       959 |        959 |       locale
import time:       695 |       2767 |     calendar
import time:      1437 |       1437 |     textwrap
import time:       187 |        187 |           _opcode
import time:       336 |        523 |         opcode
import time:       600 |       1122 |       dis
import time:      2256 |       3378 |     inspect
import time:       837 |        837 |     difflib
import time:       107 |        107 |           org
import time:        52 |        159 |         org.python
import time:        37 |        195 |       org.python.core
import time:       424 |        619 |     copy
import time:       430 |        430 |     pprint
import time:      2179 |       2179 |     typing
import time:        56 |         56 |         _bisect
import time:       211 |        267 |       bisect
import time:        58 |         58 |       _sha512
import time:        50 |         50 |       _random
import time:       615 |        989 |     random
import time:       234 |        234 |           _json
import time:      1996 |       2230 |         json.scanner
import time:       615 |       2844 |       json.decoder
import time:       605 |        605 |       json.encoder
import time:       368 |       3815 |     json
import time:      2174 |       2174 |     configparser
import time:       217 |        217 |       _queue
import time:       429 |        645 |     queue
import time:       304 |        304 |       shlex
import time:        92 |         92 |         zlib
import time:       211 |        211 |           _compression
import time:       243 |        243 |           _bz2
import time:       281 |        734 |         bz2
